key,text,english,notes,verse,tag,checked,date,checked_by
Obed,Oʹbed,Obed,,Luke 3:32,bible,TRUE,2026-06-06,Matthias
Jesse,Jesʹse,Jesse,,Luke 3:32,bible,TRUE,2026-06-06,Matthias
David,David,David,with Bathsheba below:,Luke 3:31,bible,TRUE,2026-06-06,Matthias
Nathan,Nathan,Nathan,natural through Mary (Luke),Luke 3:31,bible,TRUE,2026-06-06,Matthias
Mattatha,Matʹta·tha,Mattatha,,Luke 3:31,bible,TRUE,2026-06-06,Matthias
Menna,Menʹna,Menna,,Luke 3:31,bible,TRUE,2026-06-06,Matthias
Melea,Meʹle·a,Melea,,Luke 3:31,bible,TRUE,2026-06-06,Matthias
Elakim,E·liʹa·kim,Elakim,,Luke 3:30,bible,TRUE,2026-06-06,Matthias
Jonam,Joʹnam,Jonam,,Luke 3:30,bible,TRUE,2026-06-06,Matthias
Joseph2,Joseph,Joseph,"son of Jonam, Eliakim",Luke 3:30,bible,TRUE,2026-06-06,Matthias
Judas,Judas,Judas,,Luke 3:30,bible,TRUE,2026-06-06,Matthias
Symeon,Symʹe·on,Symeon,,Luke 3:30,bible,TRUE,2026-06-06,Matthias
Levi2,Leʹvi,Levi,son of Symeon,Luke 3:29,bible,TRUE,2026-06-06,Matthias
Matthat,Matʹthat,Matthat,,Luke 3:29,bible,TRUE,2026-06-06,Matthias
Jorim,Joʹrim,Jorim,,Luke 3:29,bible,TRUE,2026-06-06,Matthias
Eliezer,E·li·eʹzer,Eliezer,,Luke 3:29,bible,TRUE,2026-06-06,Matthias
Jesus,Jesus,Jesus,son of Eliezer,Luke 3:29,bible,TRUE,2026-06-06,Matthias
Er,Er,Er,,Luke 3:28,bible,TRUE,2026-06-06,Matthias
Elmadam,El·maʹdam,Elmadam,,Luke 3:28,bible,TRUE,2026-06-06,Matthias
Cosam,Coʹsam,Cosam,,Luke 3:28,bible,TRUE,2026-06-06,Matthias
Addi,Adʹdi,Addi,,Luke 3:28,bible,TRUE,2026-06-06,Matthias
Melchi,Melʹchi,Melchi,,Luke 3:28,bible,TRUE,2026-06-06,Matthias
Neri,Neʹri,Neri,,Luke 3:27,bible,TRUE,2026-06-06,Matthias
Shealtiel,She·alʹti·el,Shealtiel,,Luke 3:27,bible,TRUE,2026-06-06,Matthias
Zerubbabel,Ze·rubʹba·bel,Zerubbabel,overlap two lineages,Luke 3:27,bible,TRUE,2026-06-06,Matthias
Rhesa,Rheʹsa,Rhesa,,Luke 3:27,bible,TRUE,2026-06-06,Matthias
Joanan,Jo·anʹan,Joanan,,Luke 3:27,bible,TRUE,2026-06-06,Matthias
Joda,Joʹda,Joda,,Luke 3:26,bible,TRUE,2026-06-06,Matthias
Josech,Joʹsech,Josech,,Luke 3:26,bible,TRUE,2026-06-06,Matthias
Semein,Semʹe·in,Semein,,Luke 3:26,bible,TRUE,2026-06-06,Matthias
Mattathias,Mat·ta·thiʹas,Mattathias,,Luke 3:26,bible,TRUE,2026-06-06,Matthias
Maath,Maʹath,Maath,,Luke 3:26,bible,TRUE,2026-06-06,Matthias
Naggai,Nagʹga·i,Naggai,,Luke 3:25,bible,TRUE,2026-06-06,Matthias
Esli,Esʹli,Esli,,Luke 3:25,bible,TRUE,2026-06-06,Matthias
Nahum,Naʹhum,Nahum,,Luke 3:25,bible,TRUE,2026-06-06,Matthias
